,path,emotion
105,data/emodb/wav/13a02Fa.wav,happy
106,data/emodb/wav/16b02Fd.wav,happy
107,data/emodb/wav/13a07Fd.wav,happy
108,data/emodb/wav/16a07Fb.wav,happy
109,data/emodb/wav/15a04Fd.wav,happy
110,data/emodb/wav/16a01Tb.wav,sad
111,data/emodb/wav/15b02Nd.wav,neutral
112,data/emodb/wav/11b01Nc.wav,neutral
113,data/emodb/wav/14a07Fd.wav,happy
114,data/emodb/wav/16a05Tb.wav,sad
115,data/emodb/wav/10b10Fc.wav,happy
116,data/emodb/wav/13a04Ta.wav,sad
117,data/emodb/wav/14b09Td.wav,sad
118,data/emodb/wav/14b01Fa.wav,happy
119,data/emodb/wav/08b02Ff.wav,happy
120,data/emodb/wav/16b10Tb.wav,sad
121,data/emodb/wav/12b09Td.wav,sad
122,data/emodb/wav/03b10Na.wav,neutral
123,data/emodb/wav/11b09Td.wav,sad
124,data/emodb/wav/11b01Fc.wav,happy
125,data/emodb/wav/11a07Ta.wav,sad
126,data/emodb/wav/12a02Nb.wav,neutral
127,data/emodb/wav/03a01Nc.wav,neutral
128,data/emodb/wav/08a04Ff.wav,happy
129,data/emodb/wav/09a01Fa.wav,happy
130,data/emodb/wav/11b10Td.wav,sad
131,data/emodb/wav/12b03Ta.wav,sad
132,data/emodb/wav/13b01Fc.wav,happy
133,data/emodb/wav/12b02Na.wav,neutral
134,data/emodb/wav/10b01Fa.wav,happy
135,data/emodb/wav/09a07Na.wav,neutral
136,data/emodb/wav/03b01Fa.wav,happy
137,data/emodb/wav/09b03Ta.wav,sad
138,data/emodb/wav/09b01Na.wav,neutral
139,data/emodb/wav/03a07Fa.wav,happy
140,data/emodb/wav/13b03Na.wav,neutral
141,data/emodb/wav/14a05Fb.wav,happy
142,data/emodb/wav/03a04Nc.wav,neutral
143,data/emodb/wav/14a02Tb.wav,sad
144,data/emodb/wav/08a01Fd.wav,happy
145,data/emodb/wav/16b03Fd.wav,happy
146,data/emodb/wav/12a01Nb.wav,neutral
147,data/emodb/wav/14b01Na.wav,neutral
148,data/emodb/wav/03a01Fa.wav,happy
149,data/emodb/wav/14a07Na.wav,neutral
150,data/emodb/wav/09a04Nb.wav,neutral
151,data/emodb/wav/03a04Ta.wav,sad
152,data/emodb/wav/09b03Fa.wav,happy
153,data/emodb/wav/08a01Na.wav,neutral
154,data/emodb/wav/03a02Fc.wav,happy
155,data/emodb/wav/08b03Nb.wav,neutral
156,data/emodb/wav/03b09Tc.wav,sad
157,data/emodb/wav/08a02Fe.wav,happy
158,data/emodb/wav/09b09Nd.wav,neutral
159,data/emodb/wav/16b09Fb.wav,happy
160,data/emodb/wav/16a02Tc.wav,sad
161,data/emodb/wav/15a04Nc.wav,neutral
162,data/emodb/wav/12a05Ta.wav,sad
163,data/emodb/wav/15a05Fb.wav,happy
164,data/emodb/wav/14a01Na.wav,neutral
165,data/emodb/wav/13b03Td.wav,sad
166,data/emodb/wav/08b02Nb.wav,neutral
167,data/emodb/wav/03a07Fb.wav,happy
168,data/emodb/wav/08a05Ta.wav,sad
